quotes,processed_quotes
"Не без основания говорят, что кто не очень-то полагается на свою память, тому нелегко складно лгать.", основание говорить очень полагаться свой память нелегко складно лгать 
"На бескрайних просторах океана клеветы, зовущегося «историей», одна волна, даже большая, особого значения не имеет."," бескрайний простор океан клевета зваться  « история »,  волна большой особый значение иметь "
"Кто честным кормится трудом,", честный кормиться труд 
"Что делать законам там, где царствуют деньги!", делать закон царствовать деньги 
"Вечная молодость невозможна; не будь даже другого препятствия, самонаблюдение сделало бы ее невозможной.", вечный молодость невозможный препятствие самонаблюдение сделать невозможный 
Ни одно гениальное произведение никогда не основывалось на ненависти или презрении., гениальный произведение основываться ненависть презрение 
"Ничтожна та любовь, что не страшится навлечь презрение на любимую.", ничтожный любовь страшиться навлекать презрение любить 
"Смертный, скользи по жизни, но не напирай на нее.", смертный скользь жизнь напирать 
"Это замысел безумных, а не влюбленных.", это замысел безумный влюблять 
"Величайшим грехом по отношению к нашим согражданам является не ненависть, а равнодушие к ним.", великий грех отношение наш согражданин являться ненависть равнодушие 
"Где бы ты ни очутился, люди всегда окажутся не глупее тебя.", очутиться человек оказываться глупый 
"Когда мужчины неуважительно относятся к женщине, это почти всегда показывает, что она первая забылась в своем обращении с ними.", мужчина неуважительный относиться женщина это показывать первый забываться свой обращение 
"Лучше, чтобы ободрял государь, а наказывали законы.", ободрять государь наказывать закон 
"Любовь несправедлива, но одной справедливости недостаточно.", любовь несправедливый справедливость недостаточно 
Даже во гневе тайны друга своего не открывай., гнев тайна друг свой открывать 
"Послушать глупость я готов, а слушаться не буду.", послушать глупость готовый слушаться 
"По своим природным задаткам люди друг другу близки, а по своим привычкам друг от друга далеки.", свой природный задаток человек друг друг близкий свой привычка друг друг далекий 
"Счастливы те, кому годы труда отпущены в большей мере, чем годы поисков и ожидания! Счастливы те, кто в конечном счете сможет отдать себя по-настоящему и без остатка!", счастливый год труд отпускать больший мера год поиск ожидание счастливый конечный счет смочь отдавать по-настоящему остаток 
Молодости свойственно грешить поспешностью., молодость свойственный грешить поспешность 
В несчастье судьба всегда оставляет дверку для выхода., несчастие судьба оставлять дверка выход 
"Нет ничего безобразнее старика, который не имеет других доказательств пользы его продолжительной жизни, кроме возраста.", ничто безобразный старик который иметь доказательство польза продолжительный жизнь кроме возраст 
"Стремление к радости, к счастью упорно, неистребимо, оно пустило глубокие корни в нашей душе.", стремление радость счастие упорно неистребимый оно пускать глубокий корень наш душа 
"Кто в гневе мягок, тот умней гораздо.", гнев мягкий умный гораздо 
"Как старое вино непригодно к тому, чтобы его много пить, так и грубое обращение непригодно для собеседования.", старый вино непригодный пить грубый обращение непригодный собеседование 
"итрые люди презирают знание, простаки удивляются ему, мудрые люди пользуются им.", итрый человек презирать знание простак удивляться мудрый человек пользоваться 
За преступлением следует наказание., преступление следовать наказание 
"Как мал промежуток между временем, когда человек еще слишком молод и когда он уже слишком стар.", маленький промежуток время человек слишком молодой слишком старый 
"На том стою и не могу иначе, и да поможет мне Бог!", стоять мочь иначе помогать бог 
Мы любим друзей за их недостатки., любить друг недостаток 
Никогда не обвиняй ложно жены своей., обвинять ложно жена свой 
"Как ненавистна мудрость мне, Которая зовет вас к крови!", ненавистный мудрость который звать кровь 
Ни одно изобретение не может сразу стать совершенным., изобретение мочь сразу становиться совершенный 
Труд часто является отцом удовольствия., труд часто являться отец удовольствие 
"Желание служить общему благу должно непременно быть потребностью души, условием личного счастья.", желание служить общий благо должно непременно потребность душа условие личный счастие 
"Кто желает съесть орех, должен разбить скорлупу.", желать съедать орех должный разбивать скорлупа 
"Нельзя творить зло или ненавидеть какого бы то ни было человека, хоть нечестивого, хоть еретика, пока не приносит он вреда нашей душе.", творить зло ненавидеть человек нечестивый еретик пока приносить вред наш душа 
"Скорость нужна, а поспешность вредна.", скорость нужный поспешность вредный 
Не стоит разом многих змей дразнить., стоить разом многие змей дразнить 
"Все люди опытны в том, что касается их выгоды.", весь человек опытный касаться выгода 
"Праздностью рождается разврат, Всех мерзостей источник преопасный.", праздность рождаться разврат весь мерзость источник преопасный 
"Человек, выпивший лишнее, не хранит тайн и не исполняет обещаний.", человек выпивать лишний хранить тайна исполнять обещание 
"...Нежнейшее сердце Дать человеку в удел замыслила, видно, природа, Коль наделила слезами.", ... нежный сердце давать человек удел замышлять видно природа коль наделять слеза 
"Если глупец боялся бы сказать глупость, он уже не был бы глупцом.", глупец бояться сказать глупость глупец 
"Занятия наукой питают юность и приносят усладу старости, украшают в счастье, служат убежищем и утешением в несчастье.", занятие наука питать юность приносить услада старость украшать счастие служить убежище утешение несчастие 
"Нет на свете дела труднее, чем писать простую, честную прозу о чело-аеке.", свет дело трудно писать простой честный проза чело аек 
"Влюбленных зренье услаждает, И только тот в любви вкушает Весь аромат ее, кто зряч.", влюбленный зрение услаждать любовь вкушать весь аромат зрячий 
"Кто сует повсюду нос, Бывает часто бит, как пес.", совать повсюду нос бывать часто бит пес 
"Кого нам хвалит враг, в том, видно, проку нет.", хвалить враг видный прок 
Гнев от безумия отличается лишь непродолжительностью., гнев безумие отличаться лишь непродолжительность 
"Ничто не содействует столько торжеству разума, сколько спокойствие тех, которые служат ему. Истина страдает часто более от горячности своих защитников, чем от своих противников.", ничто содействовать столько торжество разум сколько спокойствие который служить истина страдать часто горячность свой защитник свой противник 
Праздность есть мать скуки и многих пороков., праздность мать скука многий порок 
"Одни и те же добродетели оцениваются в разные времена по-разному, в зависимости от их полезности эпохе.", добродетель оцениваться разный время по-разному зависимость полезность эпоха 
"Человек устроен так, что в него вложено много зажигательного материала.", человек устраивать вкладывать зажигательный материал 
Вежливость порождает и вызывает вежливость., вежливость порождать вызывать вежливость 
"Даже охотясь на слона, иногда надо убить блоху.", охотиться слон убивать блоха 
"Самым непонятным в нашем мире является то, что он все-таки понятен.", самый непонятный наш мир являться все-таки понятный 
"Наказание не должно внушать больше отвращения, чем проступок.", наказание должно внушать отвращение проступок 
"Тревожнее живется тому, кто больше всего жаждет благоденствия.", тревожно житься жаждать благоденствие 
"В будничных житейских делах трудолюбие способно делать все, на что способен гений, а кроме того, множество вещей, которые гений делать не умеет.", будничный житейский дело трудолюбие способный делать способный гений кроме множество вещь который гений делать уметь 
Врожденные дарования подобны диким растениям и нуждаются в выращивании с помощью ученых занятий., врожденный дарование подобный дикий растение нуждаться выращивание помощь ученый занятие 
"Жизнь устроена так дьявольски искусно, что, не умея ненавидеть, невозмюжно искренне любить.", жизнь устраивать дьявольски искусно уметь ненавидеть невозмюжный искренне любить 
"Принести спасение человечеству мы можем только собственным хорошим поведением; иначе мы промчимся, подобно роковой комете, оставляя повсюду за собой опустошение и смерть.", приносить спасение человечество мочь собственный хороший поведение иначе промчаться подобно роковой комета оставлять повсюду опустошение смерть 
"Похвала принижает меня, ибо я втайне прошу ее.", похвала принижать ибо втайне просить 
Даже ничтожный прогресс требует долгих лет мучительного вызревания., ничтожный прогресс требовать долгий год мучительный вызревание 
"Как в утлый мех воду лить, так безумного учить.", утлый мех вода лить безумный учить 
"Любовь есть желание наслаждаться красотой. Красота же есть некое сияние, влекущее человеческую душу.", любовь желание наслаждаться красота красота некий сияние влечь человеческий душа 
Порядок учит время сберегать., порядок учить время сберегать 
"Нет ничего драгоценнее друзей; не теряйте поэтому случая приобретать их, когда только можете.", ничто драгоценный друг терять поэтому случай приобретать мочь 
"Приятен старик, который приветлив и серьезен.", приятный старик который приветливый серьезный 
"Трагическая роль тем лучше удается актеру, чем меньше он впадает в крайности. Безмерный ужас порождается именно умеренностью.", трагический роль удаваться актер мало впадать крайность безмерный ужас порождаться именно умеренность 
"В общественных отношениях своих избегай делать врагов из друзей; старайся, наоборот, обращать своих врагов в друзей.", общественный отношение свой избегать делать враг друг стараться наоборот обращать свой враг друг 
"Надо молить, чтоб ум был здравым в теле здоровом. Бодрого духа проси, что не знает страха пред смертью... Духа, что к гневу склонен, страстей неразумных не знает.", молить ум здравый тело здоровый бодрый дух просить знать страх пред смерть ... дух гнев склонный страсть неразумный знать 
"Надежда на счастье, пусть даже обманчивая, никогда не причиняет человеку зла, потому что она облегчает жизнь.", надежда счастие пусть обманчивый причинять человек зло облегчать жизнь 
Скупой всегда нуждается., скупой нуждаться 
"Тот, кто никогда не искал ни дружбы, ни любви, тысячу раз беднее того, кто их обеих утратил.", искать дружба любовь тысяча бедный оба утрачивать 
"Мы все умны, когда дело идет о том, чтобы давать советы, но когда надо избегать промахов, мы не более как дети.", весь умный дело идти давать совет избегать промах ребенок 
Нравственность возникла вместе с пороком., нравственность возникать вместе порок 
"Перестань, пожалуйста, говорить общими фразами.", переставать пожалуйста говорить общий фраза 
История пишется для установления строгой истины., история писаться установление строгий истина 
"Как в жизни, так и в речи нет ничего труднее, как видеть, что уместно.", жизнь речь ничто трудно видеть уместно 
"Люди ищут удовольствия, бросаясь из стороны в сторону, только потому, что чувствуют пустоту своей жизни, но не чувствуют еще пустоты той новой потехи, которая их притягивает.", человек искать удовольствие бросаться сторона сторона чувствовать пустота свой жизнь чувствовать пустота новый потеха который притягивать 
Должно остерегаться открывать уши для льстецов и позволять им льстить нам., должно остерегаться открывать ухо льстец позволять льстить 
"Всегда счастлив тот, у кого постоянно перед глазами что-то, чего он не может вполне понять и что он, подвигаясь вперед, все больше и больше узнает...", счастливый постоянно глаз что-то мочь вполне понимать подвигаться вперед узнавать ... 
Даже в самой безнадежности борьба остается надеждой., самый безнадежность борьба оставаться надежда 
"Для существа нравственного нет блага без свободы, но эту свободу дает не Государь, не Парламент, а каждый самому себе, с помощью Божиею.", существо нравственный благо свобода свобода давать государь парламент каждый помощь божий 
Друг должен принимать на себя часть огорчений друга., друг должный принимать часть огорчение друг 
Легковерие никогда до добра не доводит., легковерие добро доводить 
Голого раздеть невозможно., голый раздевать невозможный 
Велика сила первых привычек., большой сила первый привычка 
"Коль много накопишь, то много исчезнет.", коль накапливать исчезать 
"Чем сильнее заблуждение, тем более торжествует истина.", сильный заблуждение торжествовать истина 
И кольцо стирается со временем., кольцо стираться время 
"Кто так часто обманывает тебя, как ты сам?", часто обманывать 
Бездельники и взбалмошные головы вредны для народного благосостояния., бездельник взбалмошный голова вредный народный благосостояние 
"Никакое совместное действие невозможно без навязывания некоторому числу людей чужой воли, то есть без авторитета.", никакой совместный действие невозможный навязывание некоторый число человек чужой воля авторитет 
Не грозись: это дело не мужское., грозиться дело мужской 
Пути крови не суть пути Провидения., путь кровь путь провидение 
"Блестящий свить венок совсем не мудрено, Трудней главу найти, достойную его.", блестящий свивать венок мудрено трудно глава находить достойный 
"Наш разум приносит нам подчас не меньше горя, чем наши страсти.", наш разум приносить подчас мало горе наш страсть 
Любовь плохо уживается со страхом., любовь плохо уживаться страх 
"До старости я заботился о том, чтобы хорошо жить, в старости забочусь о том, чтобы хорошо умереть.", старость заботиться жить старость заботиться умирать 
"Если бы не власть желудка, ни одна птица не попала бы в силки охотника, да и сам охотник не ставил бы силков.", власть желудок птица попадать силок охотник охотник ставить силок 
"Во все времена земля была человеку родной матерью, а вода злою мачехой.", весь время земля человек родной мать вода злой мачеха 
"Тот, кто требует лишнего, несчастен.", требовать лишний несчастный 
"Любовь, по сути дела, акт бесконечно возобновляющейся веры.", любовь суть дело акт бесконечно возобновляться вера 
"Знания, не рожденные опытом, матерью всякой достоверности, бесплодны и полны ошибок.", знание рожать опыт мать всякий достоверность бесплодный полный ошибка 
"Что является спасением для одного, губит другого.", являться спасение губить 
"Не дело создано для мысли, а мысль создана для дела.", дело создавать мысль мысль создавать дело 
Крайняя гордость или крайнее унижение есть крайнее незнание самого себя., крайний гордость крайний унижение крайний незнание 
Мы все ленивы и нелюбопытны., весь ленивый нелюбопытный 
Никогда не помни прежних обид., помнить прежний обида 
"Если кто-либо похвалит тебя, проверь сам, верно ли это.", кто-либо похвалить проверять верно это 
"Спор даже между друзьями имеет в себе что-то грубое, неприязненное и противное дружеским отношениям.", спор друг иметь что-то грубый неприязненный противный дружеский отношение 
"Никогда не оказывайте услуг, о которых не просят.", оказывать услуга который просить 
"Беды приходят тогда, когда люди в своей лени забывают заботиться о себе.", беда приходить человек свой лень забывать заботиться 
Для усердия и искусства нет ничего невыполнимого., усердие искусство ничто невыполнимый 
Наука в развращенном человеке есть лютое оружие делать зло. Просвещение возвышает одну добродетельную душу., наука развращать человек лютый оружие делать зло просвещение возвышать добродетельный душа 
"Гнусны те люди, которые знают, в чем истина, но стоят за нее, лишь пока им это выгодно, а потом отстраняются.", гнусный человек который знать истина стоять лишь пока это выгодный отстраняться 
"Слова подобны листьям: дерево, производящее их очень много, приносит очень мало плодов.", слово подобный лист дерево производить очень приносить очень мало плод 
Умный многому сумеет научиться у врага., умный многое суметь научаться враг 
"Как можно подумать, что Богу, который все знает, неизвестен будто наш табель о рангах?", подумать бог который весь знать неизвестный наш табель ранг 
"Если бы не было веры, не было бы невежд.", вера невежда 
Только злые люди зла боятся., злой человек зло бояться 
"Обращаться к Богу оттого, что вы разочаровались в земной жизни, а боль отъединила вас от мира, бесполезно. Богу угодны души, привязанные к миру. Ему по нраву ваша радость.", обращаться бог оттого разочаровываться земной жизнь боль отъединять мир бесполезно бог угодный душа привязывать мир нрав ваш радость 
"Если самые замечательные открытия древних математиков охватываются теперь элементарной математикой... то это потому, что открытия сведены к фактам.", самый замечательный открытие древний математик охватываться элементарный математика ... это открытие сводить факт 
"Деньги не пахнут, но улетучиваются.", деньги пахнуть улетучиваться 
"Вся доблесть состоит в уменьи Стать выше, чем слепая страсть.", весь доблесть состоять умение становиться высоко слепой страсть 
Ученые весьма часто отличаются от нормальных смертных способностью восхищаться многословными и сложными заблуждениями., ученый весьма часто отличаться нормальный смертный способность восхищаться многословный сложный заблуждение 
"Так отрадно, когда тебя любят ради тебя самого.", отрадно любить ради 
"Где темен стиль, там царствует заблуждение.", темный стиль царствовать заблуждение 
"Любовь к женщине имеет для нас великое, ничем не заменимое значение; она подобна соли для мяса: пропитывая сердце, предохраняет его от порчи.", любовь женщина иметь великий ничто заменимый значение подобный соль мясо пропитывать сердце предохранять порча 
"Всякий человек хитр и мудр о чужой беде, а о своей не может смыслить.", всякий человек хитр мудрый чужой беда свой мочь смыслить 
"С простыми людьми поменьше говори о теориях, а побольше поступай согласно им.", простой человек мало говорить теория поступать согласно 
"Умный человек иногда торопится, но ничего не делает второпях.", умный человек торопиться ничто делать второпях 
"Очень трудно хвалить того, кто столь заслуживает похвалы.", очень трудно хвалить столь заслуживать похвала 
"Немного пороков достаточно, чтобы омрачить многие добродетели.", немного порок достаточно омрачать многий добродетель 
"Корыстолюбие делает из человека такие же чудеса, как и любовь.", корыстолюбие делать человек чудо любовь 
"В любви наружность значит больше, чем авторитет.", любовь наружность значит авторитет 
"Большинство людей слишком глупы, чтобы быть корыстными.", большинство человек слишком глупый корыстный 
"Чтобы театр мог воздействовать на жизнь, он должен быть сильнее, интенсивнее повседневной жизни. При стрельбе нужно целиться выше цели.", театр мочь воздействовать жизнь должный сильный интенсивно повседневный жизнь стрельба нужно целиться высоко цель 
Избыток пищи мешает тонкости ума., избыток пища мешать тонкость ум 
Нам не пристало падать духом., приставать падать дух 
"Люди перестают мыслить, когда перестают читать.", человек переставать мыслить переставать читать 
"Мысль, которая не опасна, недостойна того, чтобы называться мыслью.", мысль который опасный недостойный называться мысль 
"Я мыслю, как мне только захочется, уверенный в том, что природа поправит меня и покажет, как надо мыслить...", мыслить захотеться уверять природа поправлять показывать мыслить ... 
Всевластная любовь повелевает нами, всевластный любовь повелевать 
"И разжигает в нас, и гасит страсти пламя.", разжигать гасить страсть пламень 
"А тот, кого клянем, нам сердце полонил.", клясть сердце полонить 
В борьбе идей гибнут люди., борьба идея гибнуть человек 
"Толпа, ведомая вождем, его же и ненавидит.", толпа ведомый вождь ненавидеть 
"Помни, друг: трудней найти", помнить друг трудно находить 
"Человек ясно выражается, когда им владеет мысль, но еще яснее, когда он владеет мыслию.", человек ясно выражаться владеть мысль ясно владеть мыслие 
"Милостыня развращает и подающего, и берущего, и сверх того не достигает цели, потому что только усиливает нищенство.", милостыня развращать подавать брать сверх достигать цель усиливать нищенство 
Всем умным людям следует находиться во взаимном общении., весь умный человек следовать находиться взаимный общение 
"Чем меньше человек заботится о своем душевном состоянии, тем больше он стоит.", мало человек заботиться свой душевный состояние стоять 
"Разумный гонится не за тем, что приятно, а за тем, что избавляет от неприятностей.", разумный гнаться приятно избавлять неприятность 
"Я князь, коль мой сияет дух, Владелец, коль страстьми владею, Болярин, коль за всех болею...", князь коль сиять дух владелец коль страсть владеть болярин коль болеть ... 
"Лесть, говорят, пища глупых, между тем сколько умных людей готовы от времени до времени отведать хоть глоток этой пищи.", лесть говорить пища глупый сколько умный человек готовый время время отведывать глоток пища 
Любовь к истине проявляется в умении везде найти и оценить хорошее., любовь истина проявляться умение везде находить оценивать хороший 
Близость возлюбленной сокращает время., близость возлюбленная сокращать время 
"Есть приличие и в горе. И в слезах должно знать меру. Только неразумные люди бывают неумеренны в выражениях как радости, так и скорби.", приличие горе слеза должно знать мера неразумный человек бывать неумеренный выражение радость скорбь 
"Наделала синица славы, А моря не зажгла.", наделать синица слава море зажигать 
"Истинная любовь бьет сердце, как молния, и нема, как молния.", истинный любовь бить сердце молния нема молния 
"Все может ослабить время, но не мою печаль.", мочь ослаблять время печаль 
"Бывает такая любовь, которая в высшем своем проявлении не оставляет места для ревности.", бывать любовь который высокий свой проявление оставлять место ревность 
Великие горести оказываются всегда плодом необузданного корыстолюбия., великий горесть оказываться плод необузданный корыстолюбие 
"Чем жить с дурной славой, лучше умереть с доброй славой.", жить дурной слава умирать добрый слава 
"Живи с людьми так, чтобы твои друзья не стали недругами, а недруги стали друзьями.", жить человек твой друг становиться недруг недруг становиться друг 
"Если не желаешь признать похвалы заслуженными, то считай их лестью.", желать признавать похвала заслуживать считать лесть 
"Разврат дому есть: буде хозяйка любит слушать... разные враки, а выслушав, с прибавлением сказывает оныя мужу, и муж тому верит.", разврат дом буде хозяйка любить слушать ... разный враки выслушивать прибавление сказывать оный муж муж верить 
Нет ничего ужаснее гнева., ничто ужасный гнев 
"...Как пчела, припадая к разным цветам, собирает мед в соты, так и я по многим книгам собирал сладость слов и смысл их собрал, как в мех воды морские.", ... пчела припадать разный цвет собирать мед соты многий книга собирать сладость слово смысл собирать мех вода морской 
Только в силе воли заключается условие наших успехов на избранном поприще., сила воля заключаться условие наш успех избранный поприще 
Ты хочешь нравиться людям? Цени их ум., хотеть нравиться человек ценить ум 
"Лишь усвоив в возможном совершенстве первоначальный материал, то есть родной язык, мы в состоянии будем в возможном же совершенстве усвоить и язык иностранный, но не прежде.", лишь усваивать возможный совершенство первоначальный материал родной язык состояние возможный совершенство усваивать язык иностранный прежде 
"Ожидание будущего блаженства и страх будущих мучений лишь помешают людям думать о том, чтобы стать счастливыми здесь, на земле.", ожидание будущий блаженство страх будущий мучение лишь помешать человек думать становиться счастливый земля 
"Чересчур блестящий слог делает незаметными как характеры, так и мысли.", чересчур блестящий слог делать незаметный характер мысль 
"Когда мы оставляем этот мир, когда нас кладут в землю, то князь занимает такой же небольшой клочок ее, как и поденщик.", оставлять мир класть земля князь занимать небольшой клочок поденщик 
Праздная жизнь не может быть чистою., праздный жизнь мочь чистый 
"Большой ум, как и большая гора, первыми ловят и отражают утреннее солнце.", большой ум большой гора первый ловить отражать утренний солнце 
В свете ничего совершенного нет., свет ничто совершенный 
"Бывают люди, которым знание латыни не мешает все-таки быть ослами.", бывать человек который знание латынь мешать все-таки осел 
Обычай часто является злом., обычай часто являться зло 
"Я прожил пятьдесят лет, но если вычесть из них те часы, что я жил для других, а не для себя, то окажется, что я еще в пеленках.", проживать пятьдесят год вычитать час жить оказываться пеленка 
"Будь каждый каждому такой опорой,", каждый каждый опора 
"чтоб, избавляя друга от обуз,", избавлять друг обуза 
к одной мечте идти одною волей., мечта идти воля 
"Не все те свободны, кто смеется над своими цепями.", весь свободный смеяться свой цепь 
"Нет ничего опаснее для новой истины, чем старое заблуждение.", ничто опасный новый истина старый заблуждение 
"Мудрость всегда удовлетворена тем, что есть, и никогда не досадует на себя.", мудрость удовлетворять досадовать 
